tconst,primary_title,start_year,genres,runtime_minutes,directors,writers,averagerating,numvotes
tt2006295,The 33,2015,"Biography,Drama,History",127.0,nm0726638,"nm1209140,nm1258965,nm0859241,nm1433580,nm5203976",6.9,32263
tt2011159,No Good Deed,2014,"Action,Crime,Drama",84.0,nm0589284,nm1350938,5.6,16045
tt2011311,The Outsider,2018,"Crime,Drama,Thriller",120.0,nm1324710,nm4636960,6.3,16050
tt2015381,Guardians of the Galaxy,2014,"Action,Adventure,Comedy",121.0,nm0348181,"nm3238648,nm0314153,nm0562554,nm0348181,nm2270979,nm3966115,nm5037683,nm2757098,nm0317493,nm4160687,nm1921680",8.1,948394
tt2017486,Closer to the Moon,2014,"Comedy,Crime,Drama",112.0,nm0135952,nm0135952,7.0,3585
tt2018069,Our House,2018,"Drama,Horror,Thriller",90.0,nm2227980,"nm2914162,nm2470867",5.3,3997
tt2024469,Non-Stop,2014,"Action,Mystery,Thriller",106.0,nm1429471,"nm1622147,nm1496753,nm0257513",7.0,234717
tt2025690,The Finest Hours,2016,"Action,Drama,History",117.0,nm0318916,"nm0798788,nm0848496,nm2053216,nm4648803,nm4634203",6.8,55981
tt2027136,Kristy,2014,"Horror,Thriller",86.0,nm0085627,nm1097510,5.9,6475
tt2027231,Perfect Sisters,2014,"Crime,Drama,Thriller",96.0,nm0112253,"nm0277116,nm7850004,nm1733337",5.6,5755
tt2032572,USS Indianapolis: Men of Courage,2016,"Action,Drama,History",128.0,nm0005522,"nm1359191,nm0215502",5.2,9453
tt2034031,Laggies,2014,"Comedy,Drama,Romance",99.0,nm1119645,nm2484916,6.4,38885
tt2034800,The Great Wall,2016,"Action,Adventure,Fantasy",103.0,nm0955443,"nm0076166,nm1215164,nm0006904,nm0112150,nm0001880,nm0380980",6.0,111602
tt2039338,Flatliners,2017,"Drama,Horror,Mystery",109.0,nm0649117,"nm0276823,nm1618286",5.2,33752
tt2039393,The Gambler,2014,"Crime,Drama,Thriller",111.0,nm1012501,"nm1184258,nm0864812",6.0,59995
tt2044801,Kite,2014,"Action,Crime,Thriller",90.0,nm0956537,"nm0880870,nm0184937",4.4,5335
tt2049543,Synchronicity,2015,"Drama,Mystery,Romance",101.0,nm1402180,"nm1402180,nm1373794",5.5,9617
tt2056771,A Bigger Splash,2015,"Drama,Thriller",125.0,nm0345174,"nm1738734,nm0220227,nm0656098,nm0140643",6.4,23311
tt2057392,Eye in the Sky,2015,"Drama,Thriller,War",102.0,nm0004303,nm0382505,7.3,72301
tt2058673,Point Break,2015,"Action,Crime,Sport",114.0,nm0179697,"nm0934483,nm0004488,nm0407717",5.3,53802
tt2059171,13 Sins,2014,"Horror,Thriller",93.0,nm0821844,"nm0083547,nm0821844,nm1840848,nm2636866",6.3,29550
tt2062700,Song to Song,2017,"Drama,Music,Romance",129.0,nm0000517,nm0000517,5.7,15582
tt2064968,The Longest Week,2014,"Comedy,Drama,Romance",86.0,nm2871592,"nm2871592,nm2900644",5.4,10581
tt2069797,Delirium,2018,"Horror,Thriller",96.0,nm1531934,nm2085654,5.7,4414
tt2072230,Attack on Titan: Part 1,2015,"Action,Adventure,Drama",98.0,nm0383688,"nm4697729,nm3403795,nm2448218,nm0121423,nm2057312",5.1,11020
tt2072233,Sleepless,2017,"Action,Crime,Thriller",95.0,nm2171633,"nm0075696,nm0418621,nm0754256,nm0235502",5.6,25827
tt2078718,Sacrifice,2016,"Crime,Horror,Mystery",91.0,nm1618225,"nm1618225,nm4711195",5.3,3842
tt2080374,Steve Jobs,2015,"Biography,Drama",122.0,nm0000965,"nm0815070,nm0410596",7.2,138668
tt2084970,The Imitation Game,2014,"Biography,Drama,Thriller",114.0,nm0878763,"nm2441699,nm0388132",8.0,620834
tt2088003,Big Game,2014,"Action,Adventure,Crime",90.0,nm1118351,"nm1118351,nm0427058",5.4,28615
tt2090465,Black Butterfly,2017,"Mystery,Thriller",93.0,nm0329023,"nm0822525,nm0296827,nm2321684",6.1,10450
tt2091256,Captain Underpants: The First Epic Movie,2017,"Action,Animation,Comedy",89.0,nm1659741,"nm0831557,nm2438127,nm1659741",6.2,21903
tt2091325,Bad Johnson,2014,"Comedy,Fantasy,Romance",88.0,nm1428204,nm4307852,4.5,4580
tt2091478,Air,2015,"Drama,Sci-Fi,Thriller",95.0,nm1703669,"nm1703669,nm1579326",5.1,11191
tt2091935,Mr. Right,2015,"Action,Comedy,Romance",95.0,nm2161247,nm0484840,6.3,41457
tt2093990,El Niño,2014,"Crime,Drama,Thriller",136.0,nm0600409,"nm0346277,nm0600409",6.5,5228
tt2093991,Elvis & Nixon,2016,"Comedy,History",86.0,nm1637785,"nm0755966,nm0821179,nm0000144",6.4,12000
tt2094766,Assassin's Creed,2016,"Action,Adventure,Sci-Fi",115.0,nm2355933,"nm2078681,nm0177836,nm0171651,nm1172727,nm1817726,nm2493380",5.8,167110
tt2095649,Grace of Monaco,2014,"Biography,Drama,Romance",103.0,nm0196860,nm3885069,5.7,16685
tt2096672,Dumb and Dumber To,2014,"Adventure,Comedy",109.0,"nm0268380,nm0268370","nm1890845,nm1898234,nm0268380,nm0268370,nm0947395,nm0148808",5.6,118646
tt2096673,Inside Out,2015,"Adventure,Animation,Comedy",95.0,"nm0230032,nm0215455","nm0230032,nm0215455,nm0498834,nm2155757,nm1578335,nm2919995,nm0352778,nm0688132",8.2,536181
tt2097298,"McFarland, USA",2015,"Biography,Drama,Sport",129.0,nm0138927,"nm1480450,nm0319619,nm0860184",7.4,31735
tt2097331,The Family Fang,2015,"Comedy,Drama,Mystery",105.0,nm0000867,"nm2951052,nm1865755",6.1,6964
tt2101383,Knight of Cups,2015,"Drama,Romance",118.0,nm0000517,nm0000517,5.7,22242
tt2101569,In Your Eyes,2014,"Fantasy,Romance",106.0,nm1067779,nm0923736,7.1,28661
tt2101570,In the Blood,2014,"Action,Crime,Thriller",108.0,nm0007082,"nm0426505,nm0947395",5.8,10473
tt2102496,Cabin Fever 3: Patient Zero,2014,"Horror,Sci-Fi",91.0,nm1543846,nm0908411,4.4,6402
tt2103254,Tammy,2014,"Comedy,Romance",97.0,nm1229520,"nm0565250,nm1229520",4.9,44345
tt2103281,Dawn of the Planet of the Apes,2014,"Action,Adventure,Drama",130.0,nm0716257,"nm0093560,nm0415425,nm0798646,nm0099541",7.6,390199
tt2106361,Into the Storm,2014,"Action,Adventure,Drama",89.0,nm0702797,nm4291727,5.8,60894
tt2106651,Spectral,2016,"Action,Mystery,Sci-Fi",107.0,nm0558873,"nm2305174,nm0558873,nm1079776",6.3,43347
tt2107861,Walking on Sunshine,2014,"Comedy,Drama,Musical",97.0,"nm2790431,nm2791932",nm0820706,5.4,4505
tt2109248,Transformers: Age of Extinction,2014,"Action,Adventure,Sci-Fi",165.0,nm0000881,nm0472567,5.7,283486
tt2112096,Absolutely Fabulous: The Movie,2016,"Comedy,Crime",91.0,nm0282064,nm0766837,5.4,10928
tt2118624,The Final Girls,2015,"Comedy,Drama,Fantasy",88.0,nm0833889,"nm4784201,nm0588679",6.6,30219
tt2119532,Hacksaw Ridge,2016,"Biography,Drama,History",139.0,nm0000154,"nm0770938,nm0460795",8.1,366904
tt2119543,The House with a Clock in Its Walls,2018,"Comedy,Fantasy,Horror",105.0,nm0744834,"nm0471392,nm0068662",6.0,32995
